nombre,imagen,correo
Mesa de Partes,mesapartes.png,-----@municipalidadetenpuerto.pe
Logística,logistica.png,logisticacontropatrimonial@municipalidadetenpuerto.pe
Recursos Humanos,rrhh.png,recursoshumanos@municipalidadetenpuerto.pe
Gerencia Municipal,gerenciamunicipal.png,gerenciamunicipal@municipalidadetenpuerto.pe
Tesorería y Contabilidad,tesoreria.png,tesoreria@municipalidadetenpuerto.pe
Secretaría General,secretariageneral.png,secretariageneral@municipalidadetenpuerto.pe
Rentas,rentas.png,-------@municipalidadetenpuerto.pe
Biblioteca,biblio.png,biblioteca@municipalidadetenpuerto.pe
Limpieza Pública,limpieza.png,limpiezapublica@municipalidadetenpuerto.pe
Desarrollo Económico,desEcono.png,subg.desarrolloeconomico@municipalidadetenpuerto.pe
Seguridad Ciudadana,segciudadadna.png,seguridadciudadana@municipalidadetenpuerto.pe
Programas Sociales,progsocial.png,programassociales@municipalidadetenpuerto.pe
Registro de Estado Civil,regestadocivil.png,registrocivil@municipalidadetenpuerto.pe
Catastro,catastro.png,catastro@hotmail.com
Imagen Institucional,imginstitu.png,imageninstitucional@municipalidadetenpuerto.pe
